table,{,},if,(,),then,else,while,ID,=,;,<,>,<=,>=,==,+,-,*,/,NUM,$,A',A,B,C,D,E,F,G,H,I,J,K,L,M,N
0,s3,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,acc,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,
3,s13,r8,s10,,,,,s11,s12,,,,,,,,,,,,,,,,5,9,4,6,7,8,,,,,,,
4,,s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,s13,r8,s10,,,,,s11,s12,,,,,,,,,,,,,,,,5,9,15,6,7,8,,,,,,,
6,r2,r2,r2,,,,,r2,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,r3,r3,r3,,,,,r3,r3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,r4,r4,r4,,,,,r4,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,r5,r5,r5,,,,,r5,r5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,s17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,s18,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,s13,r8,s10,,,,,s11,s12,,,,,,,,,,,,,,,,5,9,19,6,7,8,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,r6,,,,,,,,,,,,,,,
15,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,s26,,,,,s24,,,,,,,,,,,,s25,,,,,,,,,,20,,21,,22,,23
17,,,,s26,,,,,s24,,,,,,,,,,,,s25,,,,,,,,,,27,,21,,22,,23
18,,,,s33,,,,,s31,,,,,,,,,,,,s32,,,,,,,,,,,,28,,29,,30
19,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,s37,s38,s39,s40,s41,,,,,,,,,,,,,,,,36,,,,,
22,,,,,,,,,,,,r21,r21,r21,r21,r21,s43,s44,,,,,,,,,,,,,,,,42,,,
